Igene	accession	hmmsource
GH4	pfam02056	maltose-6-phosphate_glucosidase_(EC_3.2.1.122);_alpha-glucosidase_(EC_3.2.1.20);_alpha-galactosidase_(EC_3.2.1.22);_6-phospho-beta-glucosidase_(EC_3.2.1.86);_alpha-glucuronidase_(EC_3.2.1.139).
GH42	pfam02449	beta-galactosidase_(EC_3.2.1.23)
GH43	pfam04616	beta-xylosidase_(EC_3.2.1.37);_beta-1,3-xylosidase_(EC_3.2.1.-);_alpha-L-arabinofuranosidase_(EC_3.2.1.55);_arabinanase_(EC_3.2.1.99);_xylanase_(EC_3.2.1.8);_galactan_1,3-beta-galactosidase__(EC_3.2.1.145)
GH44	self-built	endoglucanase_(EC_3.2.1.4);_xyloglucanase_(EC_3.2.1.151)
GH45	pfam02015	endoglucanase_(EC_3.2.1.4)
GH46	cd00978	chitosanase_(EC_3.2.1.132)
GH47	pfam01532	alpha-mannosidase_(EC_3.2.1.113)
GH48	pfam02011	endoglucanase_(EC_3.2.1.4);_chitinase_(EC_3.2.1.14);_cellobiohydrolase_(EC_3.2.1.91);_endo-processive_cellulases_(EC_3.2.1.-);_[reducing_end]_cellobiohydrolase_(3.2.1.-)
GH49	pfam03718	dextranase_(EC_3.2.1.11);_isopullulanase_(EC_3.2.1.57);_dextran_1,6-alpha-isomaltotriosidase_(EC_3.2.1.95).
GH5	pfam00150	chitosanase_(EC_3.2.1.132);_beta-mannosidase_(EC_3.2.1.25);_Cellulase_(EC_3.2.1.4);_glucan_1,3-beta-glucosidase_(EC_3.2.1.58);_licheninase_(EC_3.2.1.73);_glucan_endo-1,6-beta-glucosidase_(EC_3.2.1.75);_mannan_endo-beta-1,4-mannosidase_(EC_3.2.1.78);_endo-beta-1,4-xylanase_(EC_3.2.1.8);_cellulose_beta-1,4-cellobiosidase_(EC_3.2.1.91);_beta-1,3-mannanase_(EC_3.2.1.-);_xyloglucan-specific_endo-beta-1,4-glucanase_(EC_3.2.1.151);_mannan_transglycosylase_(EC_2.4.1.-);_endo-beta-1,6-galactanase_(EC_3.2.1.164)
GH50	self-built	beta-agarase_(EC_3.2.1.81).
GH51	COG3534	alpha-L-arabinofuranosidase_(EC_3.2.1.55);_endoglucanase_(EC_3.2.1.4)
GH52	pfam03512	beta-xylosidase_(EC_3.2.1.37).
GH53	pfam07745	endo-beta-1,4-galactanase_(EC_3.2.1.89).
GH54	pfam09206	alpha-L-arabinofuranosidase_(EC_3.2.1.55);_beta-xylosidase_(EC_3.2.1.37).
GH55	self-built	exo-beta-1,3-glucanase_(EC_3.2.1.58);_endo-beta-1,3-glucanase_(EC_3.2.1.39).
GH56	pfam01630	hyaluronidase_(EC_3.2.1.35);_chondroitin_hydrolase_(EC_3.2.1.-)
GH57	pfam03065	alpha-amylase_(EC_3.2.1.1);_4-alpha-glucanotransferase_(EC_2.4.1.25);_alpha-galactosidase_(EC_3.2.1.22);_amylopullulanase_(EC_3.2.1.41);_branching_enzyme_(EC_2.4.1.18)
GH58	pfam12217	endo-N-acetylneuraminidase_or_endo-sialidase_(EC_3.2.1.129)
GH59	pfam02057	galactocerebrosidase_(EC_3.2.1.46)
GH6	pfam01341	endoglucanase_(EC_3.2.1.4);_cellobiohydrolase_(EC_3.2.1.91)
GH62	pfam03664	alpha-L-arabinofuranosidase_(EC_3.2.1.55)
GH63	PRK10137	processing_alpha-glucosidase_(EC_3.2.1.106);_alpha-1,3-glucosidase_(EC_3.2.1.84);_alpha-glucosidase_(EC_3.2.1.20)
GH64	self-built	beta-1,3-glucanase_(EC_3.2.1.39).
GH65	pfam03632	alpha,alpha-trehalase_(EC_3.2.1.28);_maltose_phosphorylase_(EC_2.4.1.8);_trehalose_phosphorylase_(EC_2.4.1.64);_kojibiose_phosphorylase_(EC_2.4.1.230);_trehalose-6-phosphate_phosphorylase_(EC_2.4.1.-);
GH66	self-built	cycloisomaltooligosaccharide_glucanotransferase_(EC_2.4.1.-);_dextranase_(EC_3.2.1.11).
GH67	COG3661	alpha-glucuronidase_(EC_3.2.1.139);_xylan_alpha-1,2-glucuronidase_(EC_3.2.1.131)
GH68	pfam02435	levansucrase_(EC_2.4.1.10);_beta-fructofuranosidase_(EC_3.2.1.26);_inulosucrase_(EC_2.4.1.9).
GH7	pfam00840	endo-beta-1,4-glucanase_(EC_3.2.1.4);_[reducing_end-acting]_cellobiohydrolase_(EC_3.2.1.-);_chitosanase_(EC_3.2.1.132);_endo-beta-1,3-1,4-glucanase_(EC_3.2.1.73)
GH70	pfam02324	dextransucrase_(EC_2.4.1.5);_alternansucrase_(EC_2.4.1.140);_reuteransucrase_(EC_2.4.1.-);_alpha-4,6-glucanotransferase_(EC_2.4.1.-)
GH71	pfam03659	alpha-1,3-glucanase_(EC_3.2.1.59).
GH72	pfam03198	beta-1,3-glucanosyltransglycosylase_(EC_2.4.1.-)
GH73	pfam01832	peptidoglycan_hydrolase_with_endo-beta-N-acetylglucosaminidase_specificity__(EC_3.2.1.-)
GH74	smart00602	endoglucanase_(EC_3.2.1.4);_oligoxyloglucan_reducing_end-specific_cellobiohydrolase_(EC_3.2.1.150);_xyloglucanase_(EC_3.2.1.151)
GH75	pfam07335	chitosanase_(EC_3.2.1.132)
GH76	pfam03663	alpha-1,6-mannanase_(EC_3.2.1.101)
GH77	pfam02446	amylomaltase_or_4-alpha-glucanotransferase_(EC_2.4.1.25)
GH78	pfam05592	alpha-L-rhamnosidase_(EC_3.2.1.40)
GH79	self-built	beta-glucuronidase_(EC_3.2.1.31);_beta-4-O-methyl-glucuronidase_(EC_3.2.1.-);_heparanase_(EC_3.2.1.-);_baicalin_beta-glucuronidase_(EC_3.2.1.167)
GH8	pfam01270	chitosanase_(EC_3.2.1.132);_cellulase_(EC_3.2.1.4);_licheninase_(EC_3.2.1.73);_endo-1,4-beta-xylanase_(EC_3.2.1.8);_reducing-end-xylose_releasing_exo-oligoxylanase_(EC_3.2.1.156)
GH80	cd00978	chitosanase_(EC_3.2.1.132)
GH81	pfam03639	endo-beta-1,3-glucanase_(EC_3.2.1.39)
GH82	COG5434	Iota;-carrageenase_(EC_3.2.1.157)
GH83	pfam00423	neuraminidase_(EC_3.2.1.18)
GH84	pfam07555	N-acetyl_beta-glucosaminidase_(EC_3.2.1.52);_hyaluronidase_(EC_3.2.1.35)
GH85	pfam03644	endo-beta-N-acetylglucosaminidase_(EC_3.2.1.96)
GH86	self-built	beta-agarase_(EC_3.2.1.81)
GH87	self-built	mycodextranase_(EC_3.2.1.61);_alpha-1,3-glucanase_(EC_3.2.1.59)
GH88	pfam07470	d-4,5_unsaturated_beta-glucuronyl_hydrolase_(EC_3.2.1.-)
GH89	pfam05089	alpha-N-acetylglucosaminidase_(EC_3.2.1.50)
GH9	pfam00759	endoglucanase_(EC_3.2.1.4);_cellobiohydrolase_(EC_3.2.1.91);_beta-glucosidase_(EC_3.2.1.21);_exo-beta-glucosaminidase_(EC_3.2.1.165)
GH90	pfam09251	endorhamnosidase_(EC_3.2.1.-)
GH91	self-built	inulin_lyase_[DFA-I-forming]_(EC_4.2.2.17);_inulin_lyase_[DFA-III-forming]_(EC_4.2.2.18);_dIota;-fructofuranose_1,2':2,3'_dianhydride_hydrolase_[DFA-IIIase]_(EC_3.2.1.-)
GH92	pfam07971	mannosyl-oligosaccharide_alpha-1,2-mannosidase_(EC_3.2.1.113);_mannosyl-oligosaccharide_alpha-1,3-mannosidase_(EC_3.2.1.-);
GH93	self-built	exo-alpha-L-1,5-arabinanase_(EC_3.2.1.-)
GH94	COG3459	cellobiose_phosphorylase_(EC_2.4.1.20);__cellodextrin_phosphorylase_(EC_2.4.1.49);__chitobiose_phosphorylase_(EC_2.4.1.-);_cyclic_beta-1,2-glucan_synthase_(EC_2.4.1.-)
GH95	self-built	alpha-1,2-L-fucosidase_(EC_3.2.1.63);_alpha-L-fucosidase_(EC_3.2.1.51)
GH96	self-built	alpha-agarase_(EC_3.2.1.158)
GH97	pfam10566	alpha-glucosidase_(EC_3.2.1.20);_alpha-galactosidase_(EC_3.2.1.22)
GH98	pfam08306	endo-beta-galactosidase_(EC_3.2.1.-)
GH99	self-built	glycoprotein_endo-alpha-1,2-mannosidase_(EC_3.2.1.130)
GT1	COG1819	UDP-glucuronosyltransferase_(EC_2.4.1.17);_2-hydroxyacylsphingosine_1-beta-galactosyltransferase_(EC_2.4.1.45);_N-acylsphingosine_galactosyltransferase_(EC_2.4.1.47);_flavonol_3-O-glucosyltransferase_(EC_2.4.1.91);_indole-3-acetate_beta-glucosyltransferase_(EC_2.4.1.121);_sterol_glucosyltransferase_(EC_2.4.1.173);_ecdysteroid_UDP-glucosyltransferase_(EC_2.4.1.-);_zeaxanthin_glucosyltransferase_(EC_2.4.1.-);_zeatin_O-beta-glucosyltransferase_(EC_2.4.1.203);_zeatin_O-beta-xylosyltransferase_(EC_2.4.2.40);_limonoid_glucosyltransferase_(EC_2.4.1.210);_sinapate_1-glucosyltransferase_(EC_2.4.1.120);_anthocyanin_3-O-galactosyltransferase_(EC_2.4.1.-);_anthocyanin_5-O-glucosyltransferase_(EC_2.4.1.-);_anthocyanidin_3-O-glucosyltransferase_(EC_2.4.1.115);_dTDP-beta-2-deoxy-L-fucose:_alpha-L-2-deoxyfucosyltransferase_(EC_2.4.1.-);_UDP-beta-L-rhamnose:_alpha-L-rhamnosyltransferase_(EC_2.4.1.-);_UDP-glucose:_4-hydroxybenzoate_4-O-beta-glucosyltransferase_(EC_2.4.1.194);_flavonol_L-rhamnosyltransferase_(EC_2.4.1.159);_salicylic_acid_beta-glucosyltransferase_(EC_2.4.1.-)
GT10	pfam00852	galactoside_alpha-1,3/1,4-L-fucosyltransferase_(EC_2.4.1.65);_galactoside_alpha-1,3-L-fucosyltransferase_(EC_2.4.1.152);_glycoprotein_alpha-1,3-L-fucosyltransferase_(EC_2.4.1.214)
GT11	pfam01531	GDP-L-Fuc:_galactoside_alpha-1,2-L-fucosyltransferase_(EC_2.4.1.69);_GDP-L-Fuc:_beta-LacNac_alpha-1,3-L-fucosyltransferase_(EC_2.4.1.-)
GT12	pfam00535	[N-acetylneuraminyl]-galactosylglucosylceramide_N-acetylgalactosaminyltransferase_(EC_2.4.1.92).
GT13	pfam03071	alpha-1,3-mannosyl-glycoprotein_beta-1,2-N-acetylglucosaminyltransferase_(EC_2.4.1.101)
GT14	pfam02485	beta-1,3-galactosyl-O-glycosyl-glycoprotein_beta-1,6-N-acetylglucosaminyltransferase_(EC_2.4.1.102);_N-acetyllactosaminide_beta-1,6-N-acetylglucosaminyltransferase_(EC_2.4.1.150);_protein_O-beta-xylosyltransferase_(EC_2.4.2.26)
GT15	pfam01793	glycolipid_2-alpha-mannosyltransferase_(EC_2.4.1.131);_GDP-Man:_alpha-1,2-mannosyltransferase_(EC_2.4.1.-).
GT16	pfam05060	alpha-1,6-mannosyl-glycoprotein_beta-1,2-N-acetylglucosaminyltransferase_(EC_2.4.1.143).
GT17	pfam04724	beta-1,4-mannosyl-glycoprotein_beta-1,4-N-acetylglucosaminyltransferase_(EC_2.4.1.144).
GT18	self-built	alpha-1,3(6)-mannosylglycoprotein_beta-1,6-N-acetyl-glucosaminyltransferase_(EC_2.4.1.155).
GT19	pfam02684	lipid-A-disaccharide_synthase_(EC_2.4.1.182).
GT2_Cellulose_synt	PF03552.11	unknown
GT2	pfam00535	cellulose_synthase_(EC_2.4.1.12);_chitin_synthase_(EC_2.4.1.16);_dolichyl-phosphate_beta-D-mannosyltransferase_(EC_2.4.1.83);_dolichyl-phosphate_beta-glucosyltransferase_(EC_2.4.1.117);_N-acetylglucosaminyltransferase_(EC_2.4.1.-);_N-acetylgalactosaminyltransferase_(EC_2.4.1.-);_hyaluronan_synthase_(EC_2.4.1.212);_chitin_oligosaccharide_synthase_(EC_2.4.1.-);_beta-1,3-glucan_synthase_(EC_2.4.1.34);_beta-1,4-mannan_synthase_(EC_2.4.1.-);_beta-mannosylphosphodecaprenolÃ¯Â¿Â½mannooligosaccharide_alpha-1,6-mannosyltransferase_(EC_2.4.1.199);_alpha-1,3-L-rhamnosyltransferase_(EC_2.4.1.-)
GT20	pfam00982	alpha,alpha-trehalose-phosphate_synthase_[UDP-forming]_(EC_2.4.1.15)
GT21	cd02520	UDP-Glc:_ceramide_beta-glucosyltransferase_(EC_2.4.1.80).
GT22	pfam03901	Dol-P-Man_alpha-mannosyltransferase_(EC_2.4.1.-)
GT23	self-built	N-acetyl-beta-D-glucosaminide_alpha-1,6-L-fucosyltransferase_(EC_2.4.1.68)
GT24	cd06432	UDP-Glc:_glycoprotein_alpha-glucosyltransferase_(EC_2.4.1.-).
GT25	pfam01755	lipopolysaccharide_beta-1,4-galactosyltransferase_(EC_2.4.1.-);_beta-1,3-glucosyltransferase_(EC_2.4.1.-);_beta-1,2-glucosyltransferase_(EC_2.4.1.-);_beta-1,2-galactosyltransferase_(EC_2.4.1.-)
GT26	pfam03808	UDP-ManNAcA:_beta-N-acetyl_mannosaminuronyltransferase_(EC_2.4.1.-);_UDP-ManNAc:_beta-N-acetyl-mannosaminyltransferase_(EC_2.4.1.-);_UDP-Glc:_beta-1,4-glucosyltransferase_(EC_2.4.1.-).
GT27	cd02510	polypeptide_alpha-N-acetylgalactosaminyltransferase_(EC_2.4.1.41)
GT28	pfam04101	1,2-diacylglycerol_3-beta-galactosyltransferase_(EC_2.4.1.46);_1,2-diacylglycerol_3-beta-glucosyltransferase_(EC_2.4.1.157);__UDP-GlcNAc:_Und-PP-MurAc-pentapeptide_beta-N-acetylglucosaminyltransferase_(EC_2.4.1.227).
GT29	pfam00777	sialyltransferase_(EC_2.4.99.-);_beta-galactoside_alpha-2,6-sialyltransferase_(EC_2.4.99.1);_alpha-N-acetylgalactosaminide_alpha-2,6-sialyltransferase_(EC_2.4.99.3);_beta-galactoside_alpha-2,3-sialyltransferase_(EC_2.4.99.4);_N-acetyllactosaminide_alpha-2,3-sialyltransferase_(EC_2.4.99.6);_(alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide_alpha-2,6-sialyltransferase_(EC_2.4.99.7);__alpha-N-acetyl-neuraminide_alpha-2,8-sialyltransferase_(EC_2.4.99.8);_lactosylceramide_alpha-2,3-sialyltransferase_(EC_2.4.99.9).
GT3	pfam05693	glycogen_synthase_(EC_2.4.1.11).
GT30	pfam04413	CMP-beta-KDO:_alpha-3-deoxy-D-manno-octulosonic-acid_(KDO)_transferase_(EC_2.4.99.-).
GT31	pfam01762	N-acetyllactosaminide_beta-1,3-N-acetylglucosaminyltransferase_(EC_2.4.1.149);_Glycoprotein-N-acetylgalactosamine_3-beta-galactosyltransferase_(EC_2.4.1.122);_fucose-specific_beta-1,3-N-acetylglucosaminyltransferase_(EC_2.4.1.-);_globotriosylceramide_beta-1,3-GalNAc_transferase_(EC_2.4.1.79);_chondroitin_synthase_(beta-1,3-GlcUA_and_beta-1,4-GalNAc_transferase_(EC_2.4.1.175);_chondroitin_beta-1,3-glucuronyltransferase_(EC_2.4.1.226);_chondroitin_beta-1,4-N-acetylgalactosaminyltransferase_(EC_2.4.1.-).
GT32	pfam04488	alpha-1,6-mannosyltransferase_(EC_2.4.1.-);_alpha-1,4-N-acetylglucosaminyltransferase_(EC_2.4.1.-);_alpha-1,4-N-acetylgalactosaminyltransferase_(EC_2.4.1.-);
GT33	cd03816	GDP-Man:_chitobiosyldiphosphodolichol_beta-mannosyltransferase_(EC_2.4.1.142).
GT34	pfam05637	UDP-Gal:_galactomannan_alpha-1,6-galactosyltransferase_(EC_2.4.1.-);_UDP-Xyl:_xyloglucan_alpha-1,6-xylosyltransferase_(EC_2.4.2.39);_alpha-1,2-galactosyltransferase_(EC_2.4.1.-)
GT35	pfam00343	glycogen_or_starch_phosphorylase_(EC_2.4.1.1).
GT37	pfam03254	galactoside_2-L-fucosyltransferase_(EC_2.4.1.69)
GT38	pfam07388	polysialyltransferase_(EC_2.4.-.-)
GT39	pfam02366	Dol-P-Man:_protein_alpha-mannosyltransferase_(EC_2.4.1.109)
GT4	pfam00534	sucrose_synthase_(EC_2.4.1.13);_sucrose-phosphate_synthase_(EC_2.4.1.14);_alpha-glucosyltransferase_(EC_2.4.1.52);_lipopolysaccharide_N-acetylglucosaminyltransferase_(EC_2.4.1.56);_GDP-Man_alpha-mannosyltransferase_(EC_2.4.1.-);_1,2-diacylglycerol_3-glucosyltransferase_(EC_2.4.1.157);__diglucosyl_diacylglycerol_synthase_(EC_2.4.1.208);_digalactosyldiacylglycerol_synthase_(EC_2.4.1.141);_trehalose_phosphorylase_(EC_2.4.1.231);_phosphatidylinositol_alpha-mannosyltransferase_(EC_2.4.1.57);_UDP-Gal_alpha-galactosyltransferase_(EC_2.4.1.-);_UDP-Xyl_alpha-xylosyltransferase_(EC_2.4.2.-)
GT40	cd04186	beta-1,3-galactofuranosyltransferases_(EC_2.4.1.-)
GT41	COG3914	UDP-GlcNAc:_peptide_beta-N-acetylglucosaminyltransferase_(EC_2.4.1.94)
GT42	pfam06002	CMP-NeuAc_alpha-2,3-sialyltransferase_(EC_2.4.99.-)
GT43	pfam03360	beta-glucuronyltransferase_(EC_2.4.1.135);_UDP-Xyl:_xylan__beta-1,4-xylosyltransferase_(EC_2.4.2.-)
GT44	pfam04488	UDP-Glc:_alpha-glucosyltransferase_(EC_2.4.1.-);_UDP-GlcNAc:_alpha-N-acetylglucosaminyltransferase_(EC_2.4.1.-).
GT45	pfam00535	alpha-N-acteylglucosaminyltransferase_(EC_2.4.1.-)
GT46	self-built	Deleted
GT47	pfam03016	heparan_beta-glucuronyltransferase_(EC_2.4.1.225);_xyloglucan_beta-galactosyltransferase_(EC_2.4.1.-);_heparan_synthase_(EC_2.4.1.-);_arabinan_alphalpha-L-arabinosyltransferase_(EC_2.4.2.-).
GT48	pfam02364	1,3-beta-glucan_synthase_(EC_2.4.1.34)
GT49	self-built	beta-1,3-N-acetylglucosaminyltransferase_(EC_2.4.1.-).
GT5	cd03791	UDP-Glc:_glycogen_glucosyltransferase_(EC_2.4.1.11);_ADP-Glc:_starch_glucosyltransferase_(EC_2.4.1.21);_NDP-Glc:_starch_glucosyltransferase_(EC_2.4.1.242);_UDP-Glc:_alpha-1,3-glucan_synthase_(EC_2.4.1.183)_UDP-Glc:_alpha-1,4-glucan_synthase_(EC_2.4.1.-)
GT50	pfam05007	Dol-P-Man_alpha-1,4-mannosyltransferase_(EC_2.4.1.-)
GT51	pfam00912	murein_polymerase_(EC_2.4.1.129).
GT52	pfam07922	alpha-2,3-sialyltransferase_(EC_2.4.99.4);_alpha-glucosyltransferase_(EC_2.4.1.-)
GT53	pfam04602	UDP-L-Ara:_alpha-L-arabinosyltransferase_(EC_2.4.2.-)
GT54	pfam04666	UDP-GlcNAc:_alpha-1,3-D-mannoside_beta-1,4-N-acetylglucosaminyltransferase_(EC_2.4.1.145)
GT55	pfam09488	GDP-Man:_mannosyl-3-phosphoglycerate_synthase_(EC_2.4.1.217)
GT56	pfam07429	TDP-Fuc4NAc:_lipid_II_Fuc4NAc_transferase_(EC_2.4.1.-)
GT57	pfam03155	Dol-P-Glc:_alpha-1,3-glucosyltransferase_(EC_2.4.1.-)
GT58	pfam05208	Dol-P-Man:_dolichol_pyrophosphate-mannose_alpha-1,3-mannosyltransferase_(EC_2.4.1.130);_Dol-P-Man:_dolichol_pyrophosphate-Man5GlcNAc2_alpha-1,2-mannosyltransferase_(EC_2.4.1.130)
GT59	pfam04922	Dol-P-Glc:_Glc2Man9GlcNAc2-PP-Dol_alpha-1,2-glucosyltransferase_(EC_2.4.1.-)
GT6	pfam03414	alpha-1,3-galactosyltransferase_(EC_2.4.1.87);_alpha-1,3_N-acetylgalactosaminyltransferase_(EC_2.4.1.40);_alpha-galactosyltransferase_(EC_2.4.1.37);_globoside_alpha-N-acetylgalactosaminyltransferase_(EC_2.4.1.88).
GT60	pfam11397	UDP-GlcNAc:_polypeptide_alpha-N-acetylglucosaminyltransferase_(EC_2.4.1.-);_UDP-GlcNAc:_hydroxyproline_polypeptide_alpha-N-acetylglucosaminyltransferase_(EC_2.4.1.-)
GT61	pfam04577	beta-1,2-xylosyltransferase_(EC_2.4.2.38)
GT62	pfam03452	alpha-1,2-mannosyltransferase_(EC_2.4.1.-);_alpha-1,6-mannosyltransferase_(EC_2.4.1.-)
GT63	self-built	UDP-Glc:_DNA_beta-glucosyltransferase_(EC_2.4.1.27)
GT64	pfam09258	UDP-GlcNAc:_heparan_alpha-N-acetylhexosaminyltransferase_(EC_2.4.1.224)
GT65	pfam10250	GDP-Fuc:_protein_O-alpha-fucosyltransferase_(EC_2.4.1.-)
GT66	pfam02516	Dol-PP-alpha-oligosaccharide:_protein_beta-oligosaccharyltransferase_(EC_2.4.1.119)
GT67	PTZ00210	UDP-Gal:_phosphoglycan_betalpha-1,3_galactosyltransferase_1_(SCG1)_(EC_2.4.1.-)
GT68	pfam10250	GDP-Fuc:_protein_O-alpha-fucosyltransferase_(EC_2.4.1.-)
GT69	pfam11735	GDP-Man:_alpha-1,3-mannosyltransferase_(EC_2.4.1.-)
GT7	pfam02709	lactose_synthase_(EC_2.4.1.22);_beta-N-acetylglucosaminyl-glycopeptide_beta-1,4-galactosyltransferase_(EC_2.4.1.38);_N-acetyllactosamine_synthase_(EC_2.4.1.90);_beta-1,4-N-acetylglucosaminyltransferase_(EC_2.4.1.-);_xylosylprotein_beta-4-galactosyltransferase_(EC_2.4.1.133)
GT70	self-built	UDP-GlcA:_beta-glucuronosyltransferase_(EC_2.4.1.17)
GT71	pfam11051	alpha-mannosyltransferase_(EC_2.4.1.-)
GT72	pfam11440	UDP-Glc:_DNA_alpha-glucosyltransferase_(EC_2.4.1.26)
GT73	PRK09822	CMP-beta-KDO:_alpha-3-deoxy-D-manno-octulosonic-acid_(KDO)_transferase_(EC_2.4.99.-).
GT74	self-built	alpha-1,2-L-fucosyltransferase_(EC_2.4.1.69)
GT75	pfam03214	UDP-Glc:_self-glucosylating_beta-glucosyltransferase_(EC_2.4.1.-)
GT76	pfam04188	Dol-P-Man:_alpha-1,6-mannosyltransferase_(EC_2.4.1.-)
GT77	pfam03407	alpha-xylosyltransferase_(EC_2.4.2.39);_alpha-1,3-galactosyltransferase_(EC_2.4.1.37);_arabinosyltransferase_(EC_2.4.2.-)
GT78	self-built	GDP-Man:_alpha-mannosyltransferase_(mannosylglycerate_synthase)_(EC_2.4.1.-)
GT79	self-built	GDP-D-Ara:_phosphoglycan_alpha-1,2-D-arabinopyranosyltransferase_1_(EC_2.4.2.-)
GT8	pfam01501	lipopolysaccharide_alpha-1,3-galactosyltransferase_(EC_2.4.1.44);__UDP-Glc:_(glucosyl)lipopolysaccharide_alpha-1,2-glucosyltransferase_(EC_2.4.1.-);_lipopolysaccharide_glucosyltransferase_1_(EC_2.4.1.58);_glycogenin_glucosyltransferase_(EC_2.4.1.186);_inositol_1-alpha-galactosyltransferase_(galactinol_synthase)_(EC_2.4.1.123);_homogalacturonan_alpha-1,4-galacturonosyltransferase_(EC_2.4.1.43);_UDP-GlcA:_xylan_alpha-glucuronyltransferase_(EC_2.4.1.-)
GT80	pfam11477	beta-galactoside_alpha-2,6-sialyltransferase_(EC_2.4.99.1);_beta-galactoside_alpha-2,3-sialyltransferase_(EC_2.4.99.4)
GT81	PRK13915	NDP-Glc:_glucosyl-3-phosphoglycerate_synthase_(EC_2.4.1.-);_NDP-Man:_mannosyl-3-phosphoglycerate_synthase_(EC_2.4.1.-);
GT82	pfam06306	UDP-GalNAc:_beta-1,4-N-acetylgalactosaminyltransferase_(EC_2.4.1.-)
GT83	COG1807	undecaprenyl_phosphate-alpha-L-Ara4N:_4-amino-4-deoxy-beta-L-arabinosyltransferase_(EC_2.4.2.-);_dodecaprenyl_phosphate-beta-galacturonic_acid:_lipopolysaccharide_core_alpha-galacturonosyl_transferase_(EC_2.4.1.-)
GT84	pfam10091	cyclic_beta-1,2-glucan_synthase_(EC_2.4.1.-);
GT85	pfam12250	beta-D-arabinofuranosyl_monophosphoryldecaprenol:_galactan_alpha-D-arabinofuranosyltransferase_(EC_2.4.2.-)
GT87	pfam09594	polyprenol-P-Man:_alpha-1,2-mannosyltransferase_(EC_2.4.1.-)
GT88	self-built	UDP-Glc:_alpha-glucosyltransferase_(EC_2.4.1.-)
GT89	self-built	beta-D-arabinofuranosyl-1-monophosphoryldecaprenol_:_arabinan_beta-1,2-arabinofuranosyltransferase_(EC_2.4.2.-)
GT9	pfam01075	lipopolysaccharide_N-acetylglucosaminyltransferase_(EC_2.4.1.56);_heptosyltransferase_(EC_2.4.-.-).
GT90	smart00672	UDP-Xyl:_(mannosyl)_glucuronoxylomannan/galactoxylomannan_beta-1,2-xylosyltransferase_(EC_2.4.2.-)
GT91	pfam12141	beta-1,2-mannosyltransferase_(EC_2.4.1.-)
GT92	pfam01697	UDP-Gal:_N-glycan_core_alpha-1,6-fucoside_beta-1,4-galactosyltransferase_(EC_2.4.1.-);_UDP-Gal:_beta-galactoside_beta-1,4-galactosyltransferase_(EC_2.4.1.-)
GT93	unknown	unknown
GT94	unknown	unknown
GT95	unknown	unknown
GT96	unknown	unknown
GT97	unknown	unknown
GT98	unknown	unknown
GT99	unknown	unknown
PL1	smart00656	pectate_lyase_(EC_4.2.2.2);_exo-pectate_lyase_(EC_4.2.2.9);_pectin_lyase_(EC_4.2.2.10).
PL10	pfam09492	pectate_lyase_(EC_4.2.2.2)
PL11	self-built	rhamnogalacturonan_lyase_(EC_4.2.2.-);_exo-unsaturated_rhamnogalacturonan_lyase_(EC_4.2.2.-)
PL12	pfam07940	heparin-sulfate_lyase_(EC_4.2.2.8)
PL13	self-built	heparin_lyase__(EC_4.2.2.7)
PL14	self-built	alginate_lyase_(EC_4.2.2.3);_exo-oligoalginate_lyase_(EC_4.2.2.-);_beta-1,4-glucuronan_lyase_(EC_4.2.2.14)
PL15	pfam07940	oligo-alginate_lyase_(EC_4.2.2.-)
PL16	pfam07212	hyaluronan_lyase_(EC_4.2.2.1).
PL17	pfam07940	alginate_lyase_(EC_4.2.2.3).
PL18	pfam08787	alginate_lyase_(EC_4.2.2.3).
PL2	pfam06917	pectate_lyase_(EC_4.2.2.2);_exo-polygalacturonate_lyase_(EC_4.2.2.9).
PL20	self-built	endo-beta-1,4-glucuronan_lyase_(EC_4.2.2.14)
PL21	pfam07940	heparin_lyase_(EC_4.2.2.7);_heparin-sulfate_lyase_(EC_4.2.2.8);_acharan-sulfate_lyase_(EC_4.2.2.-)
PL22	TIGR02800	oligogalacturonate_lyase_/_oligogalacturonide_lyase_(EC_4.2.2.6)
PL23	unknown	unknown
PL24	unknown	unknown
PL3	pfam03211	pectate_lyase_(EC_4.2.2.2).
PL4	self-built	rhamnogalacturonan_lyase_(EC_4.2.2.-).
PL5	pfam05426	alginate_lyase_(EC_4.2.2.3).
PL6	self-built	alginate_lyase_(EC_4.2.2.3);_chondroitinase_B_(EC_4.2.2.4).
PL7	pfam08787	alginate_lyase_(EC_4.2.2.3);_alpha-L-guluronate_lyase_(EC_4.2.2.11)
PL8	pfam02278	hyaluronate_lyase_(EC_4.2.2.1);_chondroitin_AC_lyase_(EC_4.2.2.5);_xanthan_lyase_(EC_4.2.2.12);_chondroitin_ABC_lyase_(EC_4.2.2.20)
PL9	self-built	pectate_lyase_(EC_4.2.2.2);_exopolygalacturonate_lyase_(EC_4.2.2.9);_thiopeptidoglycan_lyase_(EC_4.2.2.-).
SLH	pfam00395	unknown
