"Marinobacter_adhaerens_HP15" "Marinobacter_sp_tcs_11" "Marinobacter_excellens_HL_55" "Marinobacter_sp_UBA4489" "Marinobacter_sp_CPC8" "Marinobacter_sp_UBA3604" "Marinobacter_salarius_SMR5" "Marinobacter_sp_UBA2698" "Marinobacter_sp_BSs20148" "Marinobacter_sp_ES_042" "Marinobacter_sp_DSM_26671" "Marinobacter_santoriniensis_NKSG1" "Marinobacter_sp_ES_048" "Marinobacter_sp_AC_23" "Marinobacter_sp_EN3" "Marinobacter_subterrani_JG233" "Marinobacter_zhejiangensis_CGMCC_1_7061" "Marinobacter_nitrareduscens_AK21" "Marinobacter_algicola_DG893" "Marinobacter_sp_DSM_26291" "Marinobacter_sp_EhN04" "Marinobacter_lipoliticus_BF04_CF_4" "Marinobacter_sp_IN6" "Marinobacter_sp_ELB17" "Marinobacter_mobilis_GCMCC_1_7059" "Marinobacter_dagiaonensis_CGMCC_1_9167" "Marinobacter_flavimaris" "Marinobacter_sp_HL_58" ".faa" "Marinobacter_sp_ES_1" "Marinobacter_sp_LV10R520_4" "Marinobacter_sp_LQ44" "Marinobacter_daepoensis_DSM_16072" "Marinobacter_sp_HK15" "Marinobacter_antarcticus_CGMCC1_10835" "Marinobacter_lutaoensis_T5054" "Marinobacter_sp_LV10R510_11A" "Marinobacter_sp_C1S70" "Marinobacter_hydrocarbonoclasticus_STW2" "Marinobacter_guineae_strain_M3B" "Marinobacter_excellens_LAMA_842" "Marinobacter_sp_FDB33" "Marinobacter_sp_P4B1" "Marinobacter_sp_DG879" "Marinobacter_adhaerens_strain_PBVC038" "Marinobacter_sp_CP1" "Marinobacter_sp_YWL01" "Marinobacter_sp_EVN1" "Marinobacter_psychrophilus_20041" "Marinobacter_sp_LV10MA510_1" "Marinobacter_sp_C18" "Marinobacter_sp_LV10R510_8" "Marinobacter_sp_MCTG268" "Marinobacter_aromaticivorans_strain_D15_8P" "Marinobacter_hydrocarbonoclasticus_ATCC_49840" "Marinobacter_manganoxydans_MnI7_9" "Marinobacter_sp_ANT_B65" "Marinobacter_sp_N4" "Marinobacter_pelagius_CGMCC_1_6775" "Marinobacter_segnicrescens_CGMCC_1_6489" "Marinobacter_nanhaiticus_D15_8W" "Marinobacter_persicus_IBRC_M_10445" "Marinobacter_lipolyticus_SM19" "Marinobacter_sp_LVR2A5A20" "Marinobacter_hydrocarbonoclasticus_ASM1536" "Marinobacter_salinus_Hb8" "Marinobacter_sp_X15_166B" "Marinobacter_vinifirmus_FB1" "Marinobacter_sp_PWS21" "Marinobacter_salexigens_strain_HJR7" "Marinobacter_sp_EhC06" "Marinobacter_guaonensis_CGCC_1_6294"
"Marinobacter_sp_C1S70" 80.17 97.04 82.54 80.23 77 77.24 77.08 69.8 74.08 80.3 80.49 78.84 80.02 77.65 98.04 79.84 73.6 78.99 77.13 77.05 80.35 75.35 79.95 74.08 73.37 72.37 80.34 77.37 76.79 85.86 74.33 84.44 87.36 77.08 77.94 77.84 76.97 100 84.53 79.89 84.45 78.88 85.09 78.72 80.43 80.29 80.04 97.74 73.84 74.33 77.17 76.93 77.22 78.33 97.85 80.45 77.81 80.41 80.81 73.08 69.97 80.6 78.21 76.94 97.69 79.39 72.3 85.14 77.17 77.36 80.35 80.08
"Marinobacter_hydrocarbonoclasticus_STW2" 79.48 84.08 86.32 80.07 76.73 77.02 76.97 69.35 73.6 80.12 80 78.44 79.57 77.12 84.55 79.69 73.14 78.39 76.93 76.95 79.93 74.67 79.75 73.42 73 72.18 80.07 77.15 76.55 84.82 73.94 95.94 82.02 76.85 77.83 77.28 76.94 84.53 100 79.74 96.21 78.4 84.23 77.92 79.62 80.13 79.38 84.04 73.37 73.97 76.47 76.94 76.68 77.31 84.17 80.14 77.44 80.12 80.1 72.74 69.95 80.25 78.1 76.76 84.78 78.91 71.63 84.48 77.05 77.31 79.93 79.81
"Marinobacter_guineae_strain_M3B" 88.27 79.66 79.27 88.24 79.39 79.63 79.62 70.26 75.24 87.96 88.25 80.23 88.4 80.3 80.12 89.29 73.63 80.86 79.58 79.91 88.59 76.42 87.99 75.3 73.96 73.19 88.41 79.64 79.71 79.92 75.23 79.74 78.63 79.63 81.21 78.66 80.15 79.89 79.74 100 79.93 80.77 79.69 81.58 88.17 88.22 87.96 79.69 75.02 75.36 79.66 79.87 79.58 80.37 79.76 88.27 80.34 88.64 82.8 73.11 70.42 77.91 80.45 80.01 79.39 83.77 72.46 79.59 78.14 79.56 88.59 86.03
"Marinobacter_excellens_LAMA_842" 79.82 84.46 86.72 80.26 76.72 77.04 77.08 69.72 73.92 80.2 80.12 78.31 79.57 77.08 84.42 79.75 73.22 78.44 77 76.94 80.27 74.88 79.74 73.67 73.12 72.23 80.07 76.93 76.36 85.06 73.84 96.67 82.31 76.95 77.89 77.18 76.89 84.45 96.21 79.93 100 78.42 84.7 78.07 79.98 80.12 79.69 83.95 73.45 73.97 76.65 76.67 76.74 77.6 84.11 80.25 77.22 80.06 79.98 72.67 69.92 80.19 77.81 76.79 84.2 78.94 71.8 84.85 76.98 76.99 80.12 79.5
"Marinobacter_sp_FDB33" 80.76 78.86 77.73 81.53 80.78 81.12 81.05 71.34 74.07 81.04 81.2 78.58 80.62 77.72 78.88 80.43 74.28 78.96 81.02 81.15 80.99 75.28 80.87 74.15 74.53 73.48 81.39 80.52 80.8 79.06 74.35 78.73 77.62 81.1 78.93 77.35 77.75 78.88 78.4 80.77 78.42 100 78.83 79.75 80.96 81.63 80.82 78.65 74.03 74.17 81.15 77.58 80.94 78.55 78.71 81.55 78.01 81.12 80.06 74.02 71.37 77.55 89.9 77.49 78.94 80.41 72.71 79.46 78.81 77.64 80.99 80.38
"Marinobacter_sp_P4B1" 79.62 85.08 82.95 80.48 77.2 77.48 77.3 70.24 74.36 79.95 80.06 78.58 79.87 77.69 85.32 79.63 73.65 78.65 77.44 77.43 80.1 75.17 80.01 74.24 73.43 72.54 80.26 77 77.06 97.12 74.39 84.71 82.94 77.36 78.23 77.63 77.24 85.09 84.23 79.69 84.7 78.83 100 78.66 79.84 80.66 79.74 85.23 74.3 74.35 77.13 77.12 77.12 77.75 85 80.15 77.34 79.99 80.51 73.58 70.41 80.73 78.15 77.07 85.21 79.05 72.05 97.47 77.82 77.42 80.09 79.57
"Marinobacter_sp_DG879" 81.86 78.52 77.57 82.41 78.29 78.52 78.46 70.45 74.78 81.99 82.5 78.89 81.75 78.53 78.88 81.4 73.44 80.78 78.39 78.54 81.72 75.75 81.94 74.77 73.3 72.02 81.9 77.73 78.21 78.76 74.55 78.47 77.51 78.42 79.83 77.55 78.47 78.72 77.92 81.58 78.07 79.75 78.66 100 81.9 82.42 82.05 78.33 74.66 74.57 78.56 78.41 78.54 78.96 78.39 82.14 78.87 81.9 80.67 72.76 70.73 77.25 79.09 78.4 78.64 83.53 72.02 78.71 77.63 78.38 81.72 81.33
"Marinobacter_adhaerens_strain_PBVC038" 93.28 80.44 79.31 92.94 79.23 79.43 79.85 70.45 74.91 92.76 92.92 80.26 92.88 80 80.58 87.28 73.97 81.36 79.93 79.81 93.89 76.18 92.64 74.98 74.01 73.05 92.96 79.78 79.21 80.29 75.11 79.95 78.97 79.81 81.15 78.71 79.86 80.43 79.62 88.17 79.98 80.96 79.84 81.9 100 92.91 92.83 80.17 74.59 75.11 80.41 79.67 79.77 81.23 80.42 92.76 80.19 93.69 82.82 73.04 70.89 78.37 80.57 79.76 80.12 83.81 72.55 80.04 78.53 79.66 93.89 87.3
"Marinobacter_sp_CP1" 96.68 80.64 79.28 100 79.42 79.68 79.54 70.97 74.92 96.1 97.52 80.17 93.88 79.94 80.73 87.4 73.8 81.12 79.6 79.68 93.7 76.03 97.47 74.96 73.85 73.45 97.71 79.8 79.08 80.49 75.03 80.69 78.94 79.79 81.13 78.66 79.86 80.29 80.13 88.22 80.12 81.63 80.66 82.42 92.91 100 96.79 80.4 74.83 75.15 80.46 79.79 79.79 80.81 80.49 97.53 80.29 93.6 82.87 73.88 70.6 78.75 80.42 79.62 80.88 83.89 72.4 80.68 78.87 79.76 93.61 87.13
"Marinobacter_sp_YWL01" 98.41 80.07 78.96 97.01 78.89 79.18 79.29 70.28 74.92 96.92 96.72 79.88 93.94 79.88 80.35 87.21 73.64 80.8 79.41 78.78 93.77 75.95 96.5 74.91 73.59 73.09 96.74 79.29 78.22 79.96 74.97 79.61 78.57 79.29 80.99 78.26 79.61 80.04 79.38 87.96 79.69 80.82 79.74 82.05 92.83 96.79 100 80.02 74.59 75.04 79.15 79.52 79.26 80.36 80.32 96.31 79.99 93.01 82.65 72.92 70.78 78.18 80.3 79.68 80.05 83.8 72.33 79.76 78.04 79.57 93.77 86.96
"Marinobacter_sp_EVN1" 80.14 97.11 82.33 80.35 76.82 77.11 76.97 69.65 73.93 80.13 80.34 78.92 79.76 77.3 97.7 79.59 73.1 78.83 77.05 76.87 80.55 75.23 79.84 73.67 73 72.46 80.11 76.94 76.48 85.77 74.1 84.34 87.03 76.8 77.87 77.84 76.88 97.74 84.04 79.69 83.95 78.65 85.23 78.33 80.17 80.4 80.02 100 73.88 74 77.03 76.79 76.69 78.09 97.9 80.29 77.43 80.33 80.38 72.76 70.06 80.55 78.16 76.65 97.47 79.16 71.84 85.06 76.89 77.1 80.55 79.86
"Marinobacter_psychrophilus_20041" 74.59 73.59 73.05 74.84 73.12 73.29 73.33 68.01 97.34 74.89 74.67 73.45 74.54 76.03 73.78 74.92 70.66 74.1 73.41 73.35 74.59 94.06 74.47 94.61 70.43 69.9 74.81 73.17 73.04 74.38 92.85 73.48 73.26 73.5 76.35 73 75.96 73.84 73.37 75.02 73.45 74.03 74.3 74.66 74.59 74.83 74.59 73.88 100 92.95 73.31 76 73.18 75.32 73.74 74.54 75.36 74.76 74.64 69.44 67.9 73.14 73.81 76.05 73.45 75.03 70.79 74.06 73.5 75.37 74.62 74.62
"Marinobacter_sp_LV10MA510_1" 75.13 73.99 73.65 75.19 73.52 73.78 73.93 68.4 93.14 75.16 74.89 73.94 75.01 76.95 74.28 74.99 70.96 74.42 73.9 73.71 75.16 94.01 74.78 93.63 70.93 70.01 75.08 73.71 73.22 74.85 98.69 73.88 73.71 73.94 77.13 73.36 77.42 74.33 73.97 75.36 73.97 74.17 74.35 74.57 75.11 75.15 75.04 74 92.95 100 73.91 77.82 73.71 76.3 74.15 75.06 76.03 75.46 74.9 69.74 68.41 73.32 74.08 78.21 73.9 75.36 71.31 74.53 73.42 76.19 75.2 74.79
"Marinobacter_sp_C18" 79.35 76.11 75.85 80.23 98.02 98.41 97.24 71.45 73.48 79.45 79.95 77.02 79.6 76.94 77.29 79.4 74 77.31 95.69 98.89 79.77 74.08 79.4 73.07 73.89 73 79.6 86.04 98.83 77.41 73.71 77 75.82 98.78 77.75 75.42 76.55 77.17 76.47 79.66 76.65 81.15 77.13 78.56 80.41 80.46 79.15 77.03 73.31 73.91 100 76.36 97.94 77.98 76.84 79.68 76.84 79.65 78.52 73.37 70.82 76.27 80.63 76.56 76.15 79.03 72.66 77.12 77.84 76.52 79.78 78.98
"Marinobacter_sp_LV10R510_8" 79.34 76.8 76.61 79.83 76.25 76.52 76.63 69.7 76.23 79.84 79.59 76.93 79.77 88.93 77.05 79.38 72.43 78.01 76.49 76.5 79.54 78.16 79.63 77.18 72.21 71.29 79.74 76.55 76.07 77.64 77.83 76.65 76.32 76.62 88.66 75.75 99.1 76.93 76.94 79.87 76.67 77.58 77.12 78.41 79.67 79.79 79.52 76.79 76 77.82 76.36 100 76.42 85.98 76.77 79.64 86.35 79.91 78.71 71.47 69.54 75.43 77.57 97.49 76.59 79.37 72.38 77.1 75.87 85.89 79.56 79.26
"Marinobacter_sp_MCTG268" 79.52 76.85 76.14 79.69 97.52 97.91 98.05 71 73.49 79.29 80.04 77.18 79.35 76.87 77.03 79.19 74.16 77.51 95.6 97.91 79.39 74.54 79.17 73.33 73.92 73.27 79.62 86.34 97.6 77.22 73.74 77.04 75.97 98.03 77.67 75.87 76.62 77.22 76.68 79.58 76.74 80.94 77.12 78.54 79.77 79.79 79.26 76.69 73.18 73.71 97.94 76.42 100 77.08 76.72 79.59 76.88 79.63 78.56 73.39 70.96 76.27 80.69 76.38 76.77 79.23 72.61 77.41 77.61 76.51 79.41 79.07
"Marinobacter_aromaticivorans_strain_D15_8P" 80.43 77.94 77.26 80.67 76.97 77.23 77.15 69.85 75.59 80.59 80.45 77.72 80.34 86.88 78.34 79.99 72.92 78.54 77.12 76.97 80.72 76.71 80.29 75.5 73.07 71.91 80.54 77.45 76.34 78.6 76.31 77.75 77.33 77.32 87.2 76.99 86.09 78.33 77.31 80.37 77.6 78.55 77.75 78.96 81.23 80.81 80.36 78.09 75.32 76.3 77.98 85.98 77.08 100 78.03 80.71 86.18 80.82 79.53 72.16 69.9 76.72 77.89 86.04 77.94 80.21 72.77 77.92 76.5 86.62 80.72 80.12
"Marinobacter_hydrocarbonoclasticus_ATCC_49840" 80.31 97.32 82.42 80.35 76.54 76.83 76.89 69.46 73.9 80.22 80.26 78.64 80 77.44 97.87 79.73 73.32 78.76 76.85 77 80.62 75.16 79.93 73.79 73.19 72.33 80.41 76.9 76.57 85.43 74.18 84.26 87.05 76.83 77.88 77.87 77.03 97.85 84.17 79.76 84.11 78.71 85 78.39 80.42 80.49 80.32 97.9 73.74 74.15 76.84 76.77 76.72 78.03 100 80.32 77.62 80.34 80.48 72.59 69.99 80.52 78.03 76.98 97.56 79.14 72.14 84.98 77.04 77.28 80.62 79.91
"Marinobacter_manganoxydans_MnI7_9" 96.31 80.69 79.27 97.64 79.21 79.42 79.39 70.95 74.91 95.89 97.33 80.18 93.65 80.08 80.71 87.39 73.95 81.01 79.39 79.47 93.94 76.07 97.8 74.87 73.94 73.48 97.27 79.64 78.99 80.34 75.26 80.53 78.84 79.32 81.13 78.57 79.73 80.45 80.14 88.27 80.25 81.55 80.15 82.14 92.76 97.53 96.31 80.29 74.54 75.06 79.68 79.64 79.59 80.71 80.32 100 80.28 93.61 82.7 73.84 70.72 78.43 80.35 79.52 80.7 83.77 72.33 80.31 78.73 79.62 93.94 87.14
"Marinobacter_sp_ANT_B65" 79.83 77.59 76.63 80.31 76.91 77.1 77.11 69.61 75.47 80.17 80.24 77.49 79.96 86.14 77.79 79.91 72.81 78.57 77 77.14 80.25 76.94 80.3 75.49 72.83 71.66 80.31 76.77 76.61 77.89 76.09 77.19 76.75 77.12 88.41 76.53 86.47 77.81 77.44 80.34 77.22 78.01 77.34 78.87 80.19 80.29 79.99 77.43 75.36 76.03 76.84 86.35 76.88 86.18 77.62 80.28 100 80.51 79.37 71.89 69.65 75.88 77.61 86.11 77.59 79.98 72.21 77.48 76.73 85.05 80.25 79.91
"Marinobacter_sp_N4" 93.37 80.22 79.3 93.75 79.27 79.52 79.58 70.22 75.06 93.09 93.8 80.4 93.84 80.3 80.59 87.81 73.97 81.06 79.52 79.61 95.98 76.34 93.38 75.07 74.04 73.28 93.59 79.81 79.29 80.27 75.53 79.97 78.97 79.6 81.22 78.57 79.97 80.41 80.12 88.64 80.06 81.12 79.99 81.9 93.69 93.6 93.01 80.33 74.76 75.46 79.65 79.91 79.63 80.82 80.34 93.61 80.51 100 82.75 73.24 70.76 78.24 80.71 79.94 80.55 83.77 72.66 80.03 78.47 79.72 95.98 87.42
"Marinobacter_pelagius_CGMCC_1_6775" 82.45 80.33 79.16 82.89 78.39 78.65 78.75 70.42 74.9 82.41 82.65 83.13 82.5 79.02 80.83 82.27 73.89 81.43 78.68 78.63 82.64 75.95 82.43 74.88 73.92 73 82.63 78.66 78.18 80.68 74.82 80.09 79.47 78.54 79.88 80.97 78.76 80.81 80.1 82.8 79.98 80.06 80.51 80.67 82.82 82.87 82.65 80.38 74.64 74.9 78.52 78.71 78.56 79.53 80.48 82.7 79.37 82.75 100 73.65 71.02 78.89 79.67 78.64 80.27 82.06 72.75 80.4 78.78 78.79 82.65 82.26
"Marinobacter_segnicrescens_CGMCC_1_6489" 72.82 73.1 72.03 73.66 73.1 73.29 73.12 69.48 69.63 73.12 73.72 72.38 72.73 71.96 73.07 73.19 71.43 72.37 73.14 73.48 73.55 71.16 73.37 69.52 71.36 80.76 73.69 73.12 72.82 73.65 69.67 73.4 72.21 73.13 71.83 72.42 71.6 73.08 72.74 73.11 72.67 74.02 73.58 72.76 73.04 73.88 72.92 72.76 69.44 69.74 73.37 71.47 73.39 72.16 72.59 73.84 71.89 73.24 73.65 100 69.57 73.23 73.27 71.29 73.34 72.29 70.41 73.66 74.03 71.74 73.55 73.22
"Marinobacter_nanhaiticus_D15_8W" 71.09 70.21 69.07 70.52 70.61 70.84 71.07 76.32 68.25 70.42 70.79 70.39 70.68 69.44 70.25 70.98 70 70.56 70.88 70.94 70.74 69.66 70.5 68.01 69.86 69.8 70.82 70.6 70.68 70.2 68.37 70.03 69.58 71.12 70.05 70.42 69.7 69.97 69.95 70.42 69.92 71.37 70.41 70.73 70.89 70.6 70.78 70.06 67.9 68.41 70.82 69.54 70.96 69.9 69.99 70.72 69.65 70.76 71.02 69.57 100 70.08 71.14 69.42 69.94 70.69 69.32 70.53 71.39 69.46 70.74 70.8
"Marinobacter_persicus_IBRC_M_10445" 78.24 80.39 79.19 78.55 76.01 76.27 76.01 69.71 73.16 77.91 78.64 77.09 78.08 75.82 80.9 77.79 72.8 77.04 75.85 76.15 78.54 74.04 78.19 72.86 72.65 72.08 78.39 76.02 75.66 81.13 73.34 80.71 79.43 76.04 76.22 76.65 75.51 80.6 80.25 77.91 80.19 77.55 80.73 77.25 78.37 78.75 78.18 80.55 73.14 73.32 76.27 75.43 76.27 76.72 80.52 78.43 75.88 78.24 78.89 73.23 70.08 100 76.76 75.57 80.77 77.35 71.49 81.23 75.53 75.87 78.54 78.12
"Marinobacter_lipolyticus_SM19" 80.35 78.07 77.41 80.44 80.37 80.6 80.67 70.61 74.03 80.53 80.49 78.27 80.61 77.62 78.24 80.38 74.04 78.77 80.56 80.6 80.62 75.4 80.37 73.81 74.04 73.12 80.48 80.21 80.2 78.26 74.05 77.95 77.06 80.64 78.46 76.89 77.71 78.21 78.1 80.45 77.81 89.9 78.15 79.09 80.57 80.42 80.3 78.16 73.81 74.08 80.63 77.57 80.69 77.89 78.03 80.35 77.61 80.71 79.67 73.27 71.14 76.76 100 77.56 78.06 80.24 72.5 78.26 78.1 77.4 80.61 80.35
"Marinobacter_sp_LVR2A5A20" 79.7 76.54 76.75 79.7 76.38 76.63 76.77 69.67 76.25 79.82 79.32 76.89 79.82 88.9 76.97 79.31 72.41 78.04 76.84 76.37 79.73 78.35 79.62 77.61 72.29 71.27 79.57 76.5 76 77.41 77.99 76.71 76.34 76.92 88.7 75.74 97.61 76.94 76.76 80.01 76.79 77.49 77.07 78.4 79.76 79.62 79.68 76.65 76.05 78.21 76.56 97.49 76.38 86.04 76.98 79.52 86.11 79.94 78.64 71.29 69.42 75.57 77.56 100 76.63 79.53 72.09 77.06 75.62 85.82 79.72 79.36
"Marinobacter_hydrocarbonoclasticus_ASM1536" 79.95 97.15 82.31 80.71 76.99 77.1 76.27 69.58 73.66 80.41 80.87 78.64 79.82 77.39 97.53 79.93 73.26 78.81 76.84 77.1 80.58 74.24 80.46 73.06 73.24 72.39 80.47 77.09 76.77 85.97 74.35 84.61 86.9 76.92 77.81 77.28 76.73 97.69 84.78 79.39 84.2 78.94 85.21 78.64 80.12 80.88 80.05 97.47 73.45 73.9 76.15 76.59 76.77 77.94 97.56 80.7 77.59 80.55 80.27 73.34 69.94 80.77 78.06 76.63 100 78.89 72.02 85.53 76.98 77.54 80.58 79.97
"Marinobacter_salinus_Hb8" 83.75 79.16 78.5 83.86 78.98 79.28 79.2 70.43 75.39 83.67 83.65 80.16 83.68 79.97 79.45 82.98 73.69 81.89 79.28 79.18 83.95 76.48 83.43 75.29 73.74 72.75 83.79 78.79 78.65 79.01 75.15 79.06 78.25 79.3 81.37 78.35 79.66 79.39 78.91 83.77 78.94 80.41 79.05 83.53 83.81 83.89 83.8 79.16 75.03 75.36 79.03 79.37 79.23 80.21 79.14 83.77 79.98 83.77 82.06 72.29 70.69 77.35 80.24 79.53 78.89 100 72.42 79.04 77.93 79.3 83.94 82.7
"Marinobacter_sp_X15_166B" 72.44 71.84 71.29 72.36 72.5 72.71 72.7 69.38 70.81 72.63 72.36 71.73 72.19 72.82 72.26 72.55 72.93 72.16 72.79 72.74 72.55 71.97 72.18 70.74 72.96 70.39 72.57 72.9 71.84 72.62 71.35 71.63 71.96 72.76 72.41 72.4 72.4 72.3 71.63 72.46 71.8 72.71 72.05 72.02 72.55 72.4 72.33 71.84 70.79 71.31 72.66 72.38 72.61 72.77 72.14 72.33 72.21 72.66 72.75 70.41 69.32 71.49 72.5 72.09 72.02 72.42 100 71.95 73.81 72.86 72.57 72.71
"Marinobacter_vinifirmus_FB1" 79.76 85.24 82.93 80.31 77.13 77.35 77.44 70.27 74.29 79.96 80.19 78.47 79.85 77.42 85.5 79.67 73.6 78.7 77.34 77.22 80.18 75.3 80.05 74.27 73.66 72.76 80.22 77.14 76.74 97.49 74.61 85.17 82.7 77.27 78.09 77.44 77.15 85.14 84.48 79.59 84.85 79.46 97.47 78.71 80.04 80.68 79.76 85.06 74.06 74.53 77.12 77.1 77.41 77.92 84.98 80.31 77.48 80.03 80.4 73.66 70.53 81.23 78.26 77.06 85.53 79.04 71.95 100 77.54 77.31 80.17 79.49
"Marinobacter_sp_PWS21" 78 77.07 75.92 78.81 77.51 77.84 77.88 71.05 73.71 77.99 78.85 77 77.61 76.48 77.17 78.02 75.09 77.19 77.89 77.97 78.22 74.7 78.24 73.4 74.95 73.22 78.65 77.59 77.51 77.53 73.6 77.27 76.08 77.8 76.85 76.74 75.88 77.17 77.05 78.14 76.98 78.81 77.82 77.63 78.53 78.87 78.04 76.89 73.5 73.42 77.84 75.87 77.61 76.5 77.04 78.73 76.73 78.47 78.78 74.03 71.39 75.53 78.1 75.62 76.98 77.93 73.81 77.54 100 75.9 78.22 78.09
"Marinobacter_salexigens_strain_HJR7" 79.5 77.17 76.7 79.77 76.32 76.6 76.85 69.32 75.55 79.65 79.61 76.99 79.48 86.85 77.62 79.22 72.37 77.98 76.52 76.62 79.7 76.72 79.46 75.48 72.38 71.39 79.64 76.52 76.19 77.72 76.13 77.08 76.6 76.77 86.28 75.95 86.19 77.36 77.31 79.56 76.99 77.64 77.42 78.38 79.66 79.76 79.57 77.1 75.37 76.19 76.52 85.89 76.51 86.62 77.28 79.62 85.05 79.72 78.79 71.74 69.46 75.87 77.4 85.82 77.54 79.3 72.86 77.31 75.9 100 79.7 79.17
"Marinobacter_sp_EhC06" 93.82 80.62 79.31 93.85 79.21 79.45 79.66 70.49 74.91 93.52 93.61 80.09 93.86 79.82 80.76 87.72 73.46 80.91 79.55 79.47 100 76.27 93.57 74.73 73.79 73.43 93.86 79.73 79.05 80.67 75.06 80.25 78.85 79.6 81.18 78.57 79.77 80.35 79.93 88.59 80.12 80.99 80.09 81.72 93.89 93.61 93.77 80.55 74.62 75.2 79.78 79.56 79.41 80.72 80.62 93.94 80.25 95.98 82.65 73.55 70.74 78.54 80.61 79.72 80.58 83.94 72.57 80.17 78.22 79.7 100 87.32
"Marinobacter_guaonensis_CGCC_1_6294" 87.05 79.99 78.68 87.17 78.77 79.01 79.08 70.25 74.87 86.95 87.04 80.27 86.62 79.35 80.31 85.76 74.03 81.14 79.05 79.01 87.32 76.27 86.78 74.94 73.99 73.36 87.02 78.91 78.66 79.9 75.02 79.62 78.9 78.99 80.55 78.96 79.47 80.08 79.81 86.03 79.5 80.38 79.57 81.33 87.3 87.13 86.96 79.86 74.62 74.79 78.98 79.26 79.07 80.12 79.91 87.14 79.91 87.42 82.26 73.22 70.8 78.12 80.35 79.36 79.97 82.7 72.71 79.49 78.09 79.17 87.32 100
