Habitat	IJSEM_year	article_doi	16S_rDNA_accession_number	DNA_GC_content_mol	oxygen_preference	mean_length_microns	mean_width_microns	motility	spore_production	Metabolism_assays	Genus_name	species_name	strain_name	pH_optimum_for_growth	pH_range_at_which_growth_occurred	temperature_optimum_for_growth_degC	temperature_range_at_which_growth_occurred_degC	optimal_NaCl_concentration_for_growth_	NaCl_concentration_range_at_which_growth_occurred_	pigment_production	cell_shape	cell_aggregation	article_first_page	culture_collection_codes	Sole_carbon_substrate_use	genome_accession_number	gram_status	If_'other'_was_chosen_above__please_enter_a_habitat_below	The_paper_included_Biolog_results
food_product	2013	10.1099_ijs.0.045757_0	AB699722	39.6	facultative_anaerobe			not_indicated	not_indicated		Lactococcus	taiwanensis	0905C15	5			20_37	6	04_Jun	NA	cocci	not_indicated	2405	NBRC109049_BCRC80460	arabinose__cellobiose__fructose__galactose__gluconic_acid__glucose__lactose__maltose__mannitol__mannose__N_acetylgulcosamine__ribose__salicin__sucrose__trehalose		positive		Yes
plant_associated	2013	10.1099_ijs.0.048215_0	AB703239	66.5	aerobic	2.5	1.2	motile__but_unspecified_structure	no	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive__urease_positive	Methylobacterium	brachythecii	99b							yes	rod	not_indicated	3287	DSM24105_NBRC107710	acetate__arabinose__asparagine__aspartic_acid_aspartate__dextrin__formic_acid__glucose__glutamic_acid__glycerol__glycogen__lactate__malonic_acid_malonate__methyl_pyruvate__propionic_acid_propionate__succinic_acid_succinate		negative		Yes
marine_sediment	2013	10.1099_ijs.0.043273_0	AB704915		aerobic	2.35	0.45	non_motile	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__gelatinase	Luteimonas	vadosa	KMM_9005	7.5	06_Sep	35	May_39	0.75	0_4	yes	rod	clump	1261	NRIC0881_JCM18392	mannitol__sorbitol__sucrose		negative		Yes
marine_sediment	2013	10.1099_ijs.0.046607_0	AB712348_		aerobic	1.6	1	flagella	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__oxidase_positive	Devosia	submarina	KMM_9415	7.5	6.0_9.0	29	May_38	1.5	0_5	yes	rod	not_indicated	3079	NRIC0884_JCM18935	2_ketogluconate__proline		negative		Yes
plant_associated	2013	10.1099_ijs.0.050013_0	AB714248	46.2	NA	6	5.5	not_indicated	yes		Wickerhamomyces	siamensis	DMKU_RK359			25	25_42			yes	ovoid_coccobacillus	none	1568	BCC50732_NBRC108900_CBS12570	cellobiose__ethanol__galactose__gluconic_acid__glucose__glycerol__lactate__maltose__mannitol__raffinose__salicin__succinic_acid_succinate__sucrose__trehalose__xylitol__xylose		NA		Yes
other	2013	10.1099_ijs.0.047027_0	AB721549	39.4	facultative_anaerobe	2.25	1	non_motile	no	acid_phosphatase__alpha_galactosidase	Lactobacillus	hokkaidonensis	LOOC260		4.0_7.0	25	Apr_37		0_4	yes	rod	none	2526	JCM18461_DSM26202	arabinose__glucose__maltose__N_acetylgulcosamine__ribose__xylose		positive	grass_silage	Yes
freshwater_river__lake__pond	2013	10.1099_ijs.0.047233_0	AB721966	42.5	aerobic	10.6	0.2	motile__but_unspecified_structure	not_indicated		Leptospira	idonii	Eri_1							NA	rod	not_indicated	2457	DSM26084_JCM18486			negative		No
food_product	2013	10.1099_ijs.0.048918_0	AB731660	43.4	facultative_anaerobe	5	1	non_motile	no	acid_phosphatase__alkaline_phosphatase	Lactobacillus	oryzae	SG293		5.0_8.0	30	Apr_45		04_Aug	yes	rod	none	2957	JCM18671_DSM26518	2_ketogluconate__gluconic_acid__glucose__maltose__N_acetylgulcosamine__ribose		positive		Yes
plant_endophyte	2013	10.1099_ijs.0.051888_0	AB733647	60.4	NA			flagella	not_indicated	urease_positive	Rhizobium	paknamense	L6_8	6.5	4.0_9.0	30	20_45	1	0_2	yes	rod	clump	3823	NBRC109338_BCC55142	melibiose__rhamnose__trehalose__tryptophan		negative		Yes
other	2013	10.1099_ijs.0.047845_0	AB735546	67.3	aerobic	1.4	1	non_motile	not_indicated	acid_phosphatase__alkaline_phosphatase	Salinisphaera	japonica	YTM_1	5.25	3.8_9.5	22.5	Apr_30	8.75	Jan_30	yes	rod	clump	2180	JCM18087_CECT8012	acetate__adonitol__citric_acide_citrate__fructose__galactose__glucose__glutamic_acid__glycerol__lactate__malate__mannitol__mannose__pyruvic_acid_pyruvate__ribose__sorbitol__succinic_acid_succinate__xylose		negative	body_surface_of_a_deep_sea_fish	Yes
soil	2013	10.1099_ijs.0.047258_0	AB736273	73	aerobic	0.8	0.4	non_motile	no	catalase_positive__gelatinase	Microbacterium	saccharophilum	K_1	7	6.0_11.0	30	Sep_37	0	0_1	yes	rod	clump	2765	NBRC108778_NCIMB14782	fructose__mannitol__xylose		positive		Yes
other	2013	10.1099_ijs.0.048009_0	AB736274	38.4	facultative_anaerobe	2.35	0.35	flagella	yes	acid_phosphatase__alkaline_phosphatase__alpha_galactosidase	Amphibacillus	iburiensis	N314	9	8.0_9.1	36	26_39	1.5	0_7	yes	rod	clump	4303	JCM18529_NCIMB14823	arabinose__cellobiose__fructose__galactose__glucose__lactose__mannose__melibiose__raffinose__rhamnose__sucrose__trehalose__xylose		positive	indigo_dye	Yes
other	2013	10.1099_ijs.0.048090_0	AB738878	59.1	aerobic	4	0.7	motile__but_unspecified_structure	yes	catalase_positive__oxidase_positive	Paenibacillus	thermoaerophilus	TC22_2b	7.5	06_Sep	52.5	25_58		0_3.5	yes	rod	not_indicated	3330	DSM26310_JCM18657	glucose__mannitol__mannose__N_acetylgulcosamine		positive	compost	Yes
soil	2013	10.1099_ijs.0.053025_0	AB744663	71.3	aerobic			not_indicated	yes		Streptomyces	abietis	A191							yes	not_indicated	not_indicated	4754	NBRC109094_DSM42080	arabinose__cellobiose__fructose__glucose__mannitol__myo_inositol__xylose		positive		Yes
other	2013	10.1099_ijs.0.048595_0	AB750685	40.6	facultative_anaerobe	4.2	0.55	flagella	yes	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__oxidase_positive__urease_positive	Oceanobacillus	polygoni	SA9	9	07_Dec	35	May_48	3	03_Dec	yes	rod	clump	3307	JCM17252_NCIMB14684	citric_acide_citrate__malate		positive	indigo_fermentation_fluid	Yes
marine_sediment	2013	10.1099_ijs.0.050468_0	AB758274	50.6	anaerobic	2		non_motile	yes		Calderihabitans	maritimus	KKC1	7.25	5.2_9.2	65	55_68	2.46	0.8_14	NA	rod	not_indicated	3602	DSM26464_NBRC109353	fructose__glucose__lactate__mannose__pyruvic_acid_pyruvate		negative		Yes
food_product	2013	10.1099_ijs.0.049965_0	AB766179	64.1	aerobic			motile__but_unspecified_structure	not_indicated	gelatinase__nitrate_reduction_to_nitrite	Halomicroarcula	pellucida	BNERC31	7	6.0_8.5	40	25_55	25	20_30	no	not_indicated	not_indicated	3556	ó_JCM17820_CECT7537	fructose__galactose__glycerol__maltose__sorbitol__xylose	AB771578	negative		Yes
plant_associated	2013	10.1099_ijs.0.051920_0	AB773428	41.3	facultative_anaerobe	1.85	1	non_motile	no	acid_phosphatase	Lactobacillus	iwatensis	IWT246		3.5_7.0	30	Apr_37		4.0_6.5	yes	rod	none	3854	JCM18838_DSM26942	fructose__glucose__mannitol__mannose__N_acetylgulcosamine		positive		Yes
plant_associated	2013	10.1099_ijs.0.052761_0	AB775175	35.7	facultative_anaerobe			not_indicated	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase	Enterococcus	saccharolyticus	812				20_37			no	ovoid_coccobacillus	clump	4691	NBRC109476_BCRC80575	cellobiose__fructose__galactose__gluconic_acid__glucose__lactose__maltose__mannitol__mannose__melibiose__N_acetylgulcosamine__raffinose__salicin__sorbitol__sucrose__trehalose		positive		Yes
other	2014	10.1099_ijs.0.052811_0	AB775178	38.1	NA			non_motile		acid_phosphatase	Lactococcus	Lactococcus_formosensis	516	5			20_37	2	04_06_14	NA	ovoid_coccobacillus	not_indicated	146	NBRC109475_BCRC80576	mannitol__ribose		positive	fermented_broccoli_stems	No
freshwater_sediment_river__lake__pond	2013	10.1099_ijs.0.051854_0	AB778017	41.1	NA	3.5	1.25	motile__but_unspecified_structure	yes		Desulfotomaculum	intricatum	SR45	6.6	6.0_7.3	43.5	28_58		0_1.0	NA	rod	none	3574	NBRC109411_DSM26801	acetate		negative		Yes
marine_sediment	2013	10.1099_ijs.0.051532_0	AB778259	72.9	facultative_anaerobe	0.8	0.65	non_motile	no	acid_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__pyrazinamidase	Janibacter	cremeus	HR08_44	7	6.0_10.0	25	Oct_30	0	0_10	yes	ovoid_coccobacillus	clump	3687	NBRC107693_DSM26154	adonitol__arabinose__arabitol__cellobiose__fructose__glucose__glycerol__glycogen__lactose__maltose__mannitol__mannose__raffinose__rhamnose__ribose__salicin__sucrose__xylose		positive		Yes
marine_sediment	2013	10.1099_ijs.0.053272_0	AB778260	70.3	facultative_anaerobe	1.5	0.45	non_motile	no	aesculin_hydrolysis__catalase_positive__gelatinase	Zhihengliuella	flava	H85_3	7.5	6.0_11.0	25	Oct_37		0_10	yes	rod	clump	4760	NBRC109021_DSM26152	cellobiose__fructose__glucose__glycerol__maltose__mannitol__melibiose__rhamnose__sucrose		positive		Yes
soil	2013	10.1099_ijs.0.051292_0	AB778526	65.4	aerobic	1.6	0.75	flagella	no	catalase_positive	Gluconoacetobacter	aggeris	T6203_4_1a		3.0_6.8	25	15_30			no	rod	not_indicated	3981	JCM19092_NCIMB14860	acetate__ethanol__fructose__gluconic_acid__glucose__lactate__mannitol__ribose__sucrose		negative		Yes
soil	2013	10.1099_ijs.0.051292_0	AB778530	66.5	aerobic	1.1	0.75	non_motile	no	catalase_positive	Gluconacetobacter	tumulisoli	T611xx_1_4a		3.0_6.8	25	15_30			yes	rod	not_indicated	3981	JCM19097_NCIMB14861	acetate__ethanol__fructose__gluconic_acid__glucose__lactate__ribose__sucrose__xylose		negative		Yes
soil	2013	10.1099_ijs.0.051292_0	AB778531	66.6	aerobic	1.1	0.75	flagella	no	catalase_positive	Gluconacetobacter	takamatsuzukensis	T61213_20_1a		3.0_6.8	25	15_30			yes	rod	not_indicated	3981	JCM19094_NCIMB14859	acetate__ethanol__fructose__gluconic_acid__glucose__lactate__mannitol__ribose__sucrose		negative		Yes
plant_associated	2013	10.1099_ijs.0.051920_0	AB779648	40.9	facultative_anaerobe	3	0.7	non_motile	no	acid_phosphatase__aesculin_hydrolysis	Lactobacillus	backii	JCM_18665		3.5_8.0		Oct_37		4.0_6.5	yes	rod	none	3854	LMG23555_DSM18080_L1062	fructose__glucose__mannitol__mannose__N_acetylgulcosamine__salicin__sorbitol		positive		Yes
plant_associated	2013	10.1099_ijs.0.053124_0	AB786910	45.6	anaerobic	2.25	0.8	non_motile	no	acid_phosphatase__alpha_galactosidase	Lactobacillus	silagei	IWT126		3.5_7.5	3_	15_45		0_4	yes	rod	clump	4613	JCM19001_DSM27022	arabinose__arabitol__fructose__galactose__gluconic_acid__glucose__maltose__mannitol__melibiose__N_acetylgulcosamine__ribose__xylose		positive		Yes
plant_associated	2013	10.1099_ijs.0.053405_0	AB795010	54.9	aerobic	2.13	0.38	flagella	not_indicated	acid_phosphatase__aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite	Algimonas	ampicilliniresistens	14A_2_7	7	6.0_9.0	20	Oct_30	3	01_May	yes	rod	clump	4407	ó_LMG26421_NBRC108219	cellobiose__galactose__glucose__lactose__maltose__xylose		negative		Yes
other	2013	10.1099_ijs.0.052985_0	AB812750	41.1	facultative_anaerobe	5	0.8	non_motile	not_indicated		Lactobacillus	faecis	AFL13_2		5.0_8.0		20_50		0_5	yes	rod	none	4502	JCM17300_DSM23956	galactose__lactose__mannitol__melibiose__N_acetylgulcosamine		positive	animal_faeces	Yes
hotspring	2004	10.1099_ijs.0.02863_0	AF001963	54	facultative_anaerobe	4.6	0.55	motile__but_unspecified_structure	yes	catalase_positive__gelatinase__oxidase_positive	Anoxybacillus	ayderensis	AB04T	8	06_Nov	50	30_70	1.5	0_2.5	no	rod		1499	NCIMB13972T_NCCB100050T	arabinose__fructose__glucose__maltose__mannose__raffinose__sucrose__xylose		positive		No
soil	2005	10.1099_ijs.0.63716_0	AF034798	62.85	aerobic	1.3	0.6	motile__but_unspecified_structure	not_indicated		Aminobacter	ciceronei	IMB_1T	7	6.5_7.5	29	28_30			no	rod	clump	1827	ATCC202197T_CIP108660T_CCUG50580T	3_hydroxybutyrate__acetate__alanine__alanine__arabinose__aspartic_acid_aspartate__fructose__galactose__glucose__histidine__lactate__leucine__maltose__mannitol__mannose__N_acetylgulcosamine__ornithine__proline__propionic_acid_propionate__pyruvic_acid_pyruvate__rhamnose__ribose__serine__sorbitol__sucrose__trehalose__tryptophan__xylose		negative		No
wastewater	2007	10.1099_ijs.0.64761_0	AF039489	67.3Œ±0.5				flagella	not_indicated	catalase_positive__oxidase_positive	Pseudomonas	knackmussii	B13T	7.2	6.0_8.3	30.5	20_41			no	rod	not_indicated	572	DSM6978T_LMG23759T	3_hydroxybutyrate__4_hydroxbenzoate__adipate__alanine__alanine__aspartic_acid_aspartate__citric_acide_citrate__fructose__gluconic_acid__glucose__histidine__itaconate__lactate__leucine__malate__ornithine__phenylacetate__proline__putrescine__pyruvic_acid_pyruvate__suberic_acid		negative		No
plant_associated	2005	10.1099_ijs.0.63627_0	AF055269	45.8	aerobic	2.25	0.5	motile__but_unspecified_structure	not_indicated	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Saccharophagus	degradans	2_40T	7.5	4.5_10	30	Apr_37	3.5	01_Oct	no	rod		1545	ATCC43961T_DSM17024			negative		No
other	2005	10.1099_ijs.0.63472_0	AF059186_AF059190		anaerobic	0.4	3.5	flagella	no	catalase_positive__oxidase_positive	Mucispirillum	schaedleri	HRI_I17T			37		3	02_Apr	no	rod	none	1199	ATCCBAA_1009T_ACM5223T	glycine		negative	mouse_caecal_mucus	No
soil	2008	10.1099_ijs.0.65451_0	AF061872	63.5	aerobic			not_indicated	not_indicated	aesculin_hydrolysis__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive__urease_positive	Burkholderia	sartisoli	Rp7				25_30		0_0.5	NA	rod	not_indicated	420	LMG_24000_CCUG_53604_ICMP_13529	arabinose__citric_acide_citrate__malate		negative		No
soil	2004	10.1099_ijs.0.02519_0	AF101415		aerobic			non_motile	no		Streptomyces	yeochonensis	CN732T	5.8	4.3_7.3	31	25_37			no	not_indicated	chain	211	KCTC9926T_IMSNU50114T_NRRLB_24245T	gluconic_acid__lactate__malate__maltose__pyruvic_acid_pyruvate__salicin__succinic_acid_succinate__Tween_80		positive		No
soil	2005	10.1099_ijs.0.63716_0	AF107722	62.5	aerobic	1.4	0.55	motile__but_unspecified_structure	not_indicated		Aminobacter	lissarensis	CC495T	6.95	6.7_7.2	25	25			yes	rod	clump	1827	NCIMB13798T_CIP108661T_CCUG_50579T	3_hydroxybutyrate__acetate__alanine__alanine__arabinose__aspartic_acid_aspartate__cellobiose__fructose__galactose__glucose__histidine__lactate__leucine__maltose__mannitol__mannose__N_acetylgulcosamine__ornithine__proline__propionic_acid_propionate__pyruvic_acid_pyruvate__rhamnose__ribose__serine__sorbitol__sucrose__trehalose__tryptophan__xylose		negative		No
seawater	2005	10.1099_ijs.0.63620_0	AF114484	59	aerobic	2.8	0.9	flagella	not_indicated	acid_phosphatase__alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Roseovarius	crassostreae	CV919_312T	7.25		34		1.25		no	rod	clump	1531	ATCCBAA_1102T_DSM16950T			negative		Yes
plant_endophyte	2004	10.1099_ijs.0.02924_0	AF130885	52				motile__but_unspecified_structure	not_indicated	catalase_positive	Erwinia	toletana	CFBP6631T			28						not_indicated	2217	A37T_ATCC700880T_CECT5263T	acetate__alanine__alanine__arabinose__cellobiose__citric_acide_citrate__glucose__malonic_acid_malonate__mannitol__melibiose__N_acetylgulcosamine__proline__propionic_acid_propionate__ribose__salicin__serine		negative		No
other	2006	10.1099_ijs.0.63524_0	AF176594	69	facultative_aerobe	01_Feb	0.5	flagella	no	nitrate_reduction_to_nitrite__oxidase_positive__urease_positive	Methylibium	petroleiphilum	PM1	6.5	05_Oct	30	25_30	0	0	yes	rod	chain	983	ATCCBAA_1232_LMG22953	acetate__alanine__alanine__asparagine__ethanol__pyruvic_acid_pyruvate		negative	compost_biofilter	No
wastewater	2006	10.1099_ijs.0.02916_0	AF180468	42.9	aerobic	1.5_2		non_motile	no	catalase_positive__oxidase_positive	Meganema	perideroedes	Gr1	7	7	25_30	15_35	0_2	0_2	yes	rod		1865	DSM15528_ATCCBAA_740			negative		No
soil	2005	10.1099_ijs.0.02565_0	AF191733	71.06	aerobic			non_motile	yes	nitrate_reduction_to_nitrite	Streptosporangium	yunnanense	CY_11007T	7.2		30	Oct_42			yes	rod	clump	719	CCTCCAA97009T_CCRC16307T_DSM44663T	cellobiose__citric_acide_citrate__glucose__malate__succinic_acid_succinate__sucrose		positive		No
soil	2005	10.1099_ijs.0.02565_0	AF191735	69.1	aerobic			non_motile	yes		Streptosporangium	purpuratum_	CY_15110T	7.2		28	42_50			yes	rod	not_indicated	719	CCTCCAA97010T_CCRC16308T_DSM44688T	cellobiose__citric_acide_citrate__fructose__glucose__malate__mannose__succinic_acid_succinate__sucrose__xylose		positive		No
other	2004	10.1099_ijs.0.02799_0	AF212204	56	facultative_aerobe	2.5	1	flagella	no	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Halomonas	sulfidaeris	Esulfide1T	7.5	05_Oct	27.5	_36	2.5	0.5___24	no	rod	not_indicated	499	ATCCBAA_803T_CECT_5817T_DSM_15722T	arabinose__arginine__asparagine__ethanol__fructose__malate__malonic_acid_malonate__mannitol__sucrose__trehalose__xylose		negative	metal_sulfide_rock	Yes
other	2004	10.1099_ijs.0.02799_0	AF212206	57.6	facultative_aerobe	2.5	1	flagella	no	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Halomonas	axialensis	Althf1T	7.5	05_Dec	30	_1_to_35	4	0.5___24	no	rod	not_indicated	499	ATCCBAA_802T_CECT5812T_DSM15723T	arabinose__ethanol__fructose__glucose__malate__maltose__sucrose		negative	hydrothermal_fluid_	Yes
other	2004	10.1099_ijs.0.02799_0	AF212218	56.3	facultative_aerobe	2.5	1.5	flagella	no	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Halomonas	hydrothermalis	Slthf2T	7.5	05_Dec	30	Feb_40	5.5	0.5___22	no	rod	not_indicated	499	ATCC_BAA_800T_CECT5814T_DSM15725T	acetate__arabinose__arginine__asparagine__citric_acide_citrate__fructose__galactose__glucose__glycerol__malate__malonic_acid_malonate__maltose__mannitol__mannose__proline__propionic_acid_propionate__sucrose__trehalose		negative	hydrothermal_fluid_	Yes
other	2004	10.1099_ijs.0.03035_0	AF219974	68.7	aerobic			non_motile	not_indicated	catalase_positive__nitrate_reduction_to_nitrite__urease_positive	Nocardia	pigrifrangens	7031T				18_35			yes	rod	not_indicated	1683	AS4.1808T_JCM11884T	3_hydroxybenzoate__3_hydroxybenzoate__acetate__arabinose__cellobiose__ethanol__fructose__gluconic_acid__glucose__glycerol__glycogen__mannose__pyruvic_acid_pyruvate__ribose__salicin__succinic_acid_succinate__sucrose__trehalose__xylose		positive	contaminated_agar_plate	No
plant_endophyte	2004	10.1099_ijs.0.02902_0	AF220763		aerobic	1.25	0.9	flagella	not_indicated	catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive__urease_positive	Methylobacterium	nodulans	ORS2060T	7.15	6.8_7.5	33.5	30_37				rod	none	2269	CNCMI2342T_LMG21967T	acetate__citric_acide_citrate__fructose__glucose__glutamic_acid__xylose		negative		No
other	2007	10.1099_ijs.0.64748_0	AF234164	34.5	anaerobic	2.6	0.65	flagella	yes		Thermoanaerobacter	sulfurigignens	JW_SL_NZ826T	5.8	4.0_8.0	65	34_72				rod		1429	ATCC700320T_DSM17917T	cellobiose__fructose__galactose__glucose__lactose__maltose__mannitol__mannose__pyruvic_acid_pyruvate__raffinose__sucrose__xylose		positive	acidic_volcanic_steam	No
other	2006	10.1099_ijs.0.64189_0	AF234854	41_41.4	aerobic	1_1.2	0.5_0.7	flagella	yes	aesculin_hydrolysis__alkaline_phosphatase__catalase_positive__oxidase_positive	Bacillus	safensis	FO_36b	5.6	5.6	30_37	Oct_50	0_10	0_10	yes	rod	chain	1735	ATCCBAA_1126_NBRC100820	arabinose__aspartic_acid_aspartate__cellobiose__citric_acide_citrate__fructose__galactose__gluconic_acid__glucose__glutamic_acid__glycerol__lactate__maltose__mannitol__mannose__melibiose__raffinose__ribose__salicin__sucrose__trehalose__xylose		positive	spacecraft_assembly	No
soil	2004	10.1099_ijs.0.02690_0	AF250285	56.4	facultative_anaerobe	1.45	0.7	non_motile	no	catalase_positive__indole_production__urease_positive	Klebsiella	singaporensis	LX3T	7		30					rod		2131	DSM16265T_JCM12419T	citric_acide_citrate__glucose		negative		No
soil	2009	10.1099_ijs.0.65409_0	AF251436	54.9	NA	2	0.5	motile__but_unspecified_structure	no	gelatinase	Ferrimicrobium	acidiphilum	T23T	2	>1.4	35	<37			no	rod	clump	1082	DSM19497T_ATCCBAA_1647T	citric_acide_citrate__glutamic_acid__glycerol		negative		No
wastewater	2004	10.1099_ijs.0.02810_0	AF273082	67.8	aerobic	1.2	0.6	flagella	no	aesculin_hydrolysis__catalase_positive__oxidase_positive	Pseudoxanthomonas	mexicana	AMX26BT	8	6.5_9.5	33.5	Oct_37	2	0_4		rod	not_indicated	2245	ATCC700993T_CIP106674T_JCM11524T	aspartic_acid_aspartate__cellobiose__fructose__glucose__glutamic_acid__histidine__maltose__mannose__proline__serine__trehalose		negative		No
other	2005	10.1099_ijs.0.63869_0	AF319778	36.4	anaerobic	1.9	1	non_motile	no	acid_phosphatase__aesculin_hydrolysis__alpha_galactosidase	Bacteroides	coprosuis	PC139T			37	25_37				rod	not_indicated	2515	CCUG50528T_NRRLB_41113T	glucose__maltose		negative	swine_manure_storage_pit	No
other	2007	10.1099_ijs.0.64381_0	AF322002		facultative_anaerobe			non_motile	no	alkaline_phosphatase__catalase_positive__nitrate_reduction_to_nitrite__urease_positive	Staphylococcus	pettenkoferi	B3117T_								cocci	clump	1543	CIP107711T_CCUG51270T	fructose__sucrose		positive	Human_blood	No
other	2010	10.1099_ijs.0.013078_0	AF333759	67.1	aerobic	1.25_6.50	0.6_0.9	motile__but_unspecified_structure		catalase_positive__nitrate_reduction_to_nitrite__oxidase_positive	Halopiger	Halopiger_aswanensis	56	7.5	6_9.2	40	40_55	22.5_25		NA	rod	not_indicated	633	DSM13151_JCM11628	acetate__gluconic_acid__pyruvic_acid_pyruvate		negative	hypersaline_soil	No
other	2004	10.1099_ijs.0.02858_0	AF338268		NA			not_indicated	not_indicated		Mycoplasma	ovis									not_indicated	not_indicated	365				positive	sheep_and_goats	No
freshwater_river__lake__pond	2004	10.1099_ijs.0.02998_0	AF344179	42.3	aerobic			non_motile	no	catalase_positive__indole_production__nitrate_reduction_to_nitrite__oxidase_positive	Kaistella	koreensis	Chj707T			30				yes	rod	not_indicated	2319	KCTC12107T_IAM15050T			negative		No
other	2008	10.1099_ijs.0.65435_0	AF357197	33.5	anaerobic	0.4	0.3	motile__but_unspecified_structure	no		Nautilia	profundicola	AmH	7	06_Sep	40	30_55	3	02_May	yes	rod	chain	1598	ATCCBAA_1463_DSM18972	formic_acid		negative	deep_sea_hydrothermal_vents	No
freshwater_sediment_river__lake__pond	2012	10.1099_ijs.0.023986_0	AF357916	45.5_46.4	anaerobic	Not_indicated	0.4_2.5	non_motile	not_indicated		Sphaerochaeta	globosa	Buddy	6.5_7.5	Not_indicated	25_30	15_37	Not_indicated	Not_indicated	NA	cocci	clump	210	DSM_22777_ATCC_BAA_1886	fructose__galactose__glucose__lactose__maltose__raffinose__sucrose__xylose		negative		No
freshwater_sediment_river__lake__pond	2012	10.1099_ijs.0.023986_0	AF357917	47.0_49.2	anaerobic	Not_indicated	0.4_2.5	non_motile	not_indicated		Sphaerochaeta	pleomorpha	Grapes	6.5_7.5	Not_indicated	25_30	15_30	Not_indicated	Not_indicated	NA	cocci	chain	210	DSM_22778_ATCC_BAA_1885	fructose__galactose__glucose__mannose__raffinose__sucrose__xylose		negative		No
other	2004	10.1099_ijs.0.02669_0	AF393376	46	anaerobic	0.8_1	0.4_0.5	flagella	no		Thermodesulfatator	indicus	CIR29812T_	6.25	6_6.7	70	55_80	2.5	1_3.5	NA	rod	chain	227	DSM15286T_JCM11887T	acetate__ethanol__glutamic_acid		negative	deep_sea_hypothermal_vent	No
hypersaline_environment	2007	10.1099_ijs.0.64576_0	AF406554	67.5	facultative_anaerobe	2	0.4	flagella	not_indicated	nitrate_reduction_to_nitrite	Alkalilimnicola	ehrlichii	MLHE_1T	9.3	7.3_10.0	30	13_40			no	rod	not_indicated	504	DSM17681T_ATCCBAA_1101T			negative		No
other	2004	10.1099_ijs.0.02719_0	AF445239	43.8	anaerobic	1.5_4.0	0.5_1.0	non_motile	no	aesculin_hydrolysis	Hespellia	porcina_	PC80T			37				yes	rod	chain	241	NRRLB_23458T_ATCCBAA674T	arabinose__fructose__glucose__maltose__mannose__sucrose__xylose		positive	pig_manure	No
other	2004	10.1099_ijs.0.02719_0	AF445264	43.7	anaerobic	1.5_5.0	0.5_1.0	non_motile	no		Hespellia	stercorisuis_	PC18T			37				yes	rod	chain	241	NRRLB23456T_CCUG46279T_ATCCBAA_677T	cellobiose__fructose__glucose__maltose__mannose__sorbitol__sucrose__trehalose__xylose		positive	pig_manure	No
NA	2009	10.1099_ijs.0.65676_0_150_65676	AF445285	48.7	anaerobic			non_motile	yes	acid_phosphatase__aesculin_hydrolysis	Robinsoniella	peoriensis	PPC31T								ovoid_coccobacillus		150	CCUG48729T_NRRLB_23985T	arabinose__cellobiose__glucose__lactose__maltose__raffinose__xylose		positive		No
other	2007	10.1099_ijs.0.64730_0	AF445297	44.5	anaerobic			non_motile	no	aesculin_hydrolysis__alkaline_phosphatase	Vagococcus	elongatus	PPC9T			37				yes	cocci	chain	751	CCUG51432T_NRRLB_41357T			positive	swine_manure_storage_	No
other	2009	10.1099_ijs.0.002816_0	AF450134	39.5	anaerobic	4	0.75	flagella	yes		Proteocatella	sphenisci	PPP2T	8.3	6.7_9.7	29	Feb_37	0.5	0_4		rod	chain	2302	ATCCBAA_755T_JCM12175T_CIP108034T			positive	animal_associated_penguin	No
built_environment	2004	10.1099_ijs.0.02488_0	AF454510		aerobic			non_motile	yes		Pseudonocardia	chloroethenivorans	SL_1T					1.5	0_3	no	not_indicated	not_indicated	131	ATCCBAA742T_DSM44698T	arabinose__cellobiose__fructose__glucose__lactose__maltose__mannitol__rhamnose__salicin__trehalose__xylose		positive		Yes
plant_associated	2004	10.1099_ijs.0.02817_0	AF459454	58.75		2.5	0.8	flagella		catalase_positive	Swaminathania	salitolerans	PA51T	3.5				3		yes	rod		1185	LMG21291T_MTCC3852T	acetate__arabinose__fructose__galactose__glutamic_acid__glycerol__lactate__mannitol__mannose__sorbitol		negative		No
hotspring	2004	10.1099_ijs.0.63109_0	AF465803	68.5	aerobic	2	0.95	non_motile	no	catalase_positive__oxidase_positive	Rubrobacter	taiwanensis	LS_293T	8	06_Nov	60	30_70	2.5	0_5.0	no	rod	not_indicated	1849	ATCCBAA_406T_BCRC17173T	arabinose__arginine__cellobiose__fructose__galactose__gelatin__glucose__glutamic_acid__lactose__maltose__mannose__melibiose__proline__raffinose__serine__trehalose__xylose		positive		No
